,Country,"Density
(P/Km2)",Abbreviation,Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital/Major City,Co2-Emissions,CPI,CPI Change (%),Currency-Code,Fertility Rate,Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Iso3_code,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,txtVALUE,Source
57,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Child,2011,Counts,39.0,GLOTIP
58,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Adult,2011,Counts,45.0,GLOTIP
59,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Total,2011,Counts,84.0,GLOTIP
66,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Child,2012,Counts,26.0,GLOTIP
67,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Adult,2012,Counts,66.0,GLOTIP
68,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Total,2012,Counts,92.0,GLOTIP
75,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Child,2013,Counts,43.0,GLOTIP
76,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Adult,2013,Counts,52.0,GLOTIP
77,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Total,2013,Counts,95.0,GLOTIP
84,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Female,Child,2014,Counts,45.0,GLOTIP
85,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Female,Adult,2014,Counts,63.0,GLOTIP
86,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Male,Child,2014,Counts,17.0,GLOTIP
87,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Male,Adult,2014,Counts,3.0,GLOTIP
88,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Child,2014,Counts,62.0,GLOTIP
89,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Adult,2014,Counts,63.0,GLOTIP
90,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Total,2014,Counts,125.0,GLOTIP
92,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Female,Child,2015,Counts,31.0,GLOTIP
93,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Female,Adult,2015,Counts,56.0,GLOTIP
94,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Male,Child,2015,Counts,17.0,GLOTIP
95,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Male,Adult,2015,Counts,5.0,GLOTIP
96,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Child,2015,Counts,48.0,GLOTIP
97,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Adult,2015,Counts,61.0,GLOTIP
98,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Total,2015,Counts,109.0,GLOTIP
101,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Female,Child,2016,Counts,40.0,GLOTIP
102,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Female,Adult,2016,Counts,44.0,GLOTIP
103,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Male,Child,2016,Counts,3.0,GLOTIP
104,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Male,Adult,2016,Counts,7.0,GLOTIP
105,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Child,2016,Counts,44.0,GLOTIP
106,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Adult,2016,Counts,51.0,GLOTIP
107,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Total,2016,Counts,95.0,GLOTIP
111,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Female,Child,2017,Counts,36.0,GLOTIP
112,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Female,Adult,2017,Counts,24.0,GLOTIP
113,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Male,Child,2017,Counts,31.0,GLOTIP
114,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Male,Adult,2017,Counts,3.0,GLOTIP
115,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Child,2017,Counts,67.0,GLOTIP
116,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Adult,2017,Counts,28.0,GLOTIP
117,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Total,2017,Counts,95.0,GLOTIP
142,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Female,Child,2018,Counts,36.0,GLOTIP
143,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Female,Adult,2018,Counts,24.0,GLOTIP
144,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Male,Child,2018,Counts,31.0,GLOTIP
145,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Male,Adult,2018,Counts,3.0,GLOTIP
146,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Child,2018,Counts,67.0,GLOTIP
147,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Adult,2018,Counts,28.0,GLOTIP
148,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Total,Total,2018,Counts,95.0,GLOTIP
173,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Female,Child,2019,Counts,46.0,GLOTIP
174,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Female,Adult,2019,Counts,34.0,GLOTIP
175,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Male,Child,2019,Counts,21.0,GLOTIP
176,Albania,105,AL,43.10%,"28,748","9,000",11.78,355.0,Tirana,"4,536",119.05,1.40%,ALL,1.62,28.10%,$1.36 ,"$15,278,077,447 ",107.00%,55.00%,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.70%,18.60%,36.60%,12.33,"1,747,593",41.153332,20.168331,ALB,Europe,Southern Europe,Detected trafficking victims,Total,Total,Male,Adult,2019,Counts,3.0,GLOTIP
